observation_date,LAUST160000000000003A,LAUST170000000000003A,LAUST180000000000003A,LAUST190000000000003A,LAUST200000000000003A,LAUST210000000000003A,LAUST220000000000003A,LAUST230000000000003A,LAUST240000000000003A,LAUST250000000000003A,LAUST260000000000003A,LAUST270000000000003A
1976-01-01,5.6,6.5,6.1,4.2,4.1,5.4,6.6,8.6,6.6,9.8,9.4,5.8
1977-01-01,5.9,6.2,5.8,4.0,3.9,4.8,6.9,8.4,6.1,7.9,8.2,5.3
1978-01-01,5.5,6.0,5.6,3.9,3.1,5.1,6.8,6.4,5.6,6.2,7.0,4.0
1979-01-01,5.8,5.6,6.4,4.2,3.1,5.6,6.7,6.6,5.8,5.5,7.8,4.3
1980-01-01,7.6,8.1,9.6,5.9,4.5,8.0,7.0,7.5,6.5,5.7,12.2,5.8
1981-01-01,7.6,8.7,9.8,6.5,4.3,8.7,8.5,7.3,7.3,6.4,12.4,5.8
1982-01-01,10.0,11.3,11.9,8.4,6.4,10.8,10.2,8.5,8.1,7.8,15.4,7.8
1983-01-01,9.2,11.7,11.1,8.2,5.9,11.2,11.5,8.3,6.9,6.9,14.5,8.0
1984-01-01,7.2,9.2,8.5,6.9,4.9,9.1,10.2,6.1,5.4,4.8,11.3,6.4
1985-01-01,7.8,9.1,7.7,7.4,5.2,9.0,11.4,5.6,4.6,4.1,10.0,6.0
1986-01-01,8.4,8.3,6.8,6.8,5.4,9.2,12.4,5.3,4.5,4.0,8.9,5.5
1987-01-01,7.7,7.5,6.1,5.6,4.8,8.3,11.8,4.3,4.3,3.4,8.4,5.1
1988-01-01,6.1,6.7,5.2,4.7,4.5,7.4,10.5,3.6,4.2,3.3,7.6,4.3
1989-01-01,5.4,6.1,4.7,4.4,4.2,6.3,7.8,4.0,3.8,4.2,7.2,4.3
1990-01-01,5.6,6.3,5.1,4.4,4.3,6.0,6.3,5.3,4.4,6.4,7.7,4.7
1991-01-01,6.3,7.3,5.7,4.7,4.5,7.3,7.2,7.8,5.8,8.9,9.3,5.1
1992-01-01,6.5,7.9,6.1,4.5,4.5,6.9,7.8,7.4,6.5,8.8,9.1,5.1
1993-01-01,6.1,7.5,5.1,4.1,4.9,6.2,7.4,6.8,6.0,7.3,7.3,4.9
1994-01-01,5.5,5.8,4.6,3.6,4.8,5.4,7.6,6.6,5.3,6.2,6.1,4.0
1995-01-01,5.5,5.2,4.4,3.5,4.3,5.4,6.8,5.9,5.0,5.5,5.3,3.7
1996-01-01,5.4,5.3,3.9,3.6,4.3,5.4,6.4,5.3,4.9,4.6,4.9,3.8
1997-01-01,5.2,4.8,3.4,3.1,3.8,5.2,5.9,5.2,4.8,4.1,4.3,3.2
1998-01-01,5.3,4.5,3.0,2.9,3.7,4.5,5.5,4.5,4.2,3.4,4.0,2.7
1999-01-01,5.0,4.4,2.9,2.7,3.5,4.5,4.9,4.0,3.4,3.3,3.8,2.7
