observation_date,LAUST160000000000003A,LAUST170000000000003A,LAUST180000000000003A,LAUST190000000000003A,LAUST200000000000003A,LAUST210000000000003A,LAUST220000000000003A,LAUST230000000000003A,LAUST240000000000003A,LAUST250000000000003A,LAUST260000000000003A,LAUST270000000000003A
2000-01-01,4.6,4.5,3.0,2.7,3.7,4.2,5.1,3.3,3.6,2.8,3.6,3.1
2001-01-01,5.1,5.4,4.2,3.3,4.3,5.2,5.6,3.8,4.1,3.8,5.2,3.7
2002-01-01,5.7,6.5,5.1,4.0,5.1,5.8,6.0,4.4,4.5,5.2,6.2,4.4
2003-01-01,5.6,6.7,5.2,4.5,5.6,6.2,6.2,5.1,4.5,5.7,7.1,4.8
2004-01-01,4.9,6.2,5.4,4.5,5.5,5.5,5.7,4.7,4.3,5.1,7.0,4.6
2005-01-01,4.0,5.7,5.4,4.3,5.1,5.9,7.1,4.9,4.2,4.8,6.8,4.1
2006-01-01,3.4,4.6,5.0,3.7,4.4,5.7,4.1,4.7,3.8,4.7,6.9,4.1
2007-01-01,3.0,5.1,4.6,3.7,4.3,5.4,4.1,4.7,3.4,4.5,7.1,4.6
2008-01-01,5.0,6.5,5.9,4.1,4.6,6.5,4.7,5.4,4.3,5.3,8.2,5.4
2009-01-01,9.1,10.0,10.2,6.5,7.1,10.6,6.7,8.3,7.1,8.1,13.5,7.7
2010-01-01,9.1,10.4,10.0,6.1,7.0,10.3,7.4,8.4,7.8,8.1,12.8,7.4
2011-01-01,8.4,9.8,8.9,5.6,6.4,9.4,7.3,7.8,7.3,7.2,10.1,6.6
2012-01-01,7.5,9.0,8.2,5.0,5.7,8.2,6.7,7.2,6.9,6.7,9.1,5.7
2013-01-01,6.9,9.1,7.5,4.7,5.3,7.9,6.4,6.7,6.6,6.7,8.8,5.0
2014-01-01,4.4,7.2,5.9,4.3,4.5,6.4,6.2,5.6,5.7,5.7,7.2,4.2
2015-01-01,3.9,6.0,4.8,3.7,4.2,5.3,6.3,4.4,5.0,4.8,5.4,3.8
2016-01-01,3.7,5.9,4.4,3.6,4.0,5.1,6.0,3.8,4.2,4.0,5.0,3.9
2017-01-01,3.2,5.0,3.5,3.1,3.6,4.8,5.1,3.4,4.1,3.8,4.6,3.4
2018-01-01,2.9,4.4,3.4,2.6,3.3,4.2,4.8,3.2,3.8,3.5,4.2,3.0
2019-01-01,2.9,4.0,3.3,2.7,3.2,4.1,4.6,2.9,3.4,3.0,4.1,3.3
2020-01-01,5.5,9.3,7.3,5.2,5.8,6.5,8.6,5.1,6.5,9.3,10.0,6.3
2021-01-01,3.6,6.1,3.9,3.9,3.4,4.5,5.6,4.8,5.2,5.3,5.7,3.7
2022-01-01,2.9,4.6,3.1,2.8,2.7,4.0,3.7,2.9,3.0,3.6,4.2,2.5
2023-01-01,3.2,4.5,3.4,2.9,2.9,4.3,3.7,2.6,2.2,3.5,3.9,2.8
2024-01-01,3.7,5.0,4.2,3.0,3.6,5.1,4.4,3.1,3.0,4.0,4.7,3.0
